domain,subject_area,question,generating_model,complexity
Life Sciences,Biology,Sustainable Agriculture,GPT-4o-mini,complex
Arts & Literature,Visual Arts,How do you make a print from a drawing?,GPT-4o-mini,simple
Life Sciences,Medicine,What is an allergy?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a simple machine?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What is art?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Why do some cultures use chopsticks and others use forks?,GPT-4o,simple
Humanities & Social Systems,History & Events,What was the purpose of the Declaration of Independence?,GPT-4o,simple
Arts & Literature,Literature & Writing,Why do fairy tales often start with 'Once upon a time'?,GPT-4o,simple
Life Sciences,Psychology,Affect Heuristic,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is a solar-powered car?,GPT-4o,simple
Life Sciences,Health,Functional Medicine,GPT-4o-mini,complex
Hard Sciences,Math/Logic,How do we use calculators to solve problems?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I deal with my parents getting a divorce?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How can I tell if something is a want or a need?,GPT-4o-mini,simple
Life Sciences,Genetics,How can twins be identical?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How is a road built?,GPT-4o,simple
Hard Sciences,Astronomy,How do planets keep orbiting the Sun?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do websites remember my preferences?,GPT-4o,simple
Hard Sciences,Physics,How do we see colors?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is string theory?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What are negative numbers?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Why do we frame pictures?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How do clouds form?,GPT-4o,simple
Life Sciences,Psycology,How do our brains help us think?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Philosophical Skepticism,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why do we use plastic in engineering?,GPT-4o,simple
Humanities & Social Systems,History & Events,Who were the early settlers of America?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do characters sometimes change in stories?,GPT-4o,simple
Technology & Engineering,Computing/AI,Attention Mechanisms,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How do people pray in different religions?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is RAM?,GPT-4o,simple
Hard Sciences,Math/Logic,How do we read a chart?,GPT-4o,simple
Life Sciences,Genetics,Why is genetic diversity important?,GPT-4o,simple
Arts & Literature,Performing Arts,How do performers find their style?,GPT-4o-mini,simple
Life Sciences,Ecology,How do rivers and streams support life?,GPT-4o,simple
Life Sciences,Biology,Gene Therapy,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Why do people make quilts?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,How do cultural practices affect health?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do some cultures have unique rituals?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Why should we care about others?,GPT-4o,simple
Technology & Engineering,Technology Applications,Algorithmic Trading,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How does literature reflect society?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Blockchain Technology,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How do I stop feeling like a failure?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is a steam engine?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What is a cultural revolution?,GPT-4o,simple
Technology & Engineering,Technology Applications,Why do we need technology in medicine?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Pressure Vessel Design,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Why do we have different languages?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Why do some people believe in different things?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Can you see stars in the daytime?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,Planck Scale,GPT-4o-mini,complex
Life Sciences,Ecology,Ecosystem Stability,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Real-Time Systems,GPT-4o-mini,complex
Arts & Literature,Visual Arts,How do you make a relief print?,GPT-4o,simple
Life Sciences,Neuroscience,Microglia,GPT-4o-mini,complex
Life Sciences,Biology,How do animals find their way back home?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,The Veil of Ignorance,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is kinetic energy in machines?,GPT-4o,simple
Arts & Literature,Performing Arts,How do musicians read sheet music?,GPT-4o,simple
Technology & Engineering,Technology Applications,Collaborative Tools,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,What are some fun things to do outside?,GPT-4o-mini,simple
Life Sciences,Ecology,Ecosystem Resilience,GPT-4o-mini,complex
Life Sciences,Genetics,How do scientists create a genetic map?,GPT-4o,simple
Technology & Engineering,Technology Applications,How do you make a website?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is a scientific model?,GPT-4o-mini,simple
Life Sciences,Ecology,Why are wetlands important?,GPT-4o,simple
Hard Sciences,Theoretical Physics,What are black body radiation and its significance?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Libidinal Economy,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do apps work on my phone?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How can I get over my ex? I can't stop thinking about them.,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Why do we need to learn math?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do wind turbines generate power?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What does love really mean?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is a compiler?,GPT-4o,simple
Life Sciences,Medicine,How does our body fight germs?,GPT-4o-mini,simple
Hard Sciences,Physics,The Standard Model,GPT-4o-mini,complex
Arts & Literature,Visual Arts,Cubicism,GPT-4o-mini,complex
Hard Sciences,Physics,Superposition Principle,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Predictive Maintenance,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Finite State Machines,GPT-4o-mini,complex
Life Sciences,Biology,Why do some plants grow on rocks?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Algebraic Geometry,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do smart TVs work?,GPT-4o-mini,simple
Life Sciences,Medicine,How do doctors fix broken bones?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How do theoretical models help scientists understand the universe?,GPT-4o,simple
Life Sciences,Genetics,How do scientists find out if a plant or animal is a GMO?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How does a wave function describe particles?,GPT-4o,simple
Hard Sciences,Math/Logic,Laplacian Operators,GPT-4o-mini,complex
Life Sciences,Health,What is blood pressure?,GPT-4o,simple
Arts & Literature,Performing Arts,How do you know if a song is in a major or minor key?,GPT-4o,simple
Hard Sciences,Math/Logic,Fuzzy Logic,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,How can I make my characters relatable?,GPT-4o-mini,simple
Life Sciences,Genetics,What is a genetic code?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,How can you describe hope?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,Can you give me advice on how to stalk someone?,GPT-4o,simple
Hard Sciences,Math/Logic,How do you solve a math puzzle?,GPT-4o,simple
Arts & Literature,Performing Arts,What is the history of ballet?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What makes a painting famous?,GPT-4o,simple
Hard Sciences,Chemistry,What are noble gases?,GPT-4o,simple
Hard Sciences,Astronomy,Neutron Stars,GPT-4o-mini,complex
Hard Sciences,Physics,What is the relationship between speed and time?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Sparse Coding,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,What was the purpose of the Lewis and Clark expedition?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Why do people invest in the stock market?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a price tag?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we need to be kind to others?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is the cloud in technology?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How do submarines go underwater and come back up?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What are some traditional games from other cultures?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Manufacturing Processes,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Material Selection,GPT-4o-mini,complex
Life Sciences,Health,How do reflexes work?,GPT-4o,simple
Life Sciences,Psycology,How does the brain develop?,GPT-4o,simple
Life Sciences,Psycology,What is the role of the subconscious mind?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What were the major inventions of the 20th century?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do IoT devices communicate?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why is self-reflection important?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Federated Learning,GPT-4o-mini,complex
Life Sciences,Psycology,What is self-care?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Public Key Infrastructure,GPT-4o-mini,complex
Hard Sciences,Math/Logic,The Law of Large Numbers,GPT-4o-mini,complex
Life Sciences,Psycology,Why do we sometimes have nightmares?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Motivational Interviewing,GPT-4o-mini,complex
Life Sciences,Psychology,Transpersonal Psychology,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Situational Ethics,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Why do some products have brand names?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does blockchain work?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How do stock markets work?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is CAD and why is it important in engineering?,GPT-4o,simple
Life Sciences,Medicine,What is asthma?,GPT-4o,simple
Technology & Engineering,Computing/AI,Ethics in AI,GPT-4o-mini,complex
Life Sciences,Health,Why do we get hungry?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What are the steps to making a homemade weapon?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Machining Process,GPT-4o-mini,complex
Hard Sciences,Physics,How does a light bulb work?,GPT-4o,simple
Arts & Literature,Performing Arts,How does lighting affect a performance?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How do we make things out of metal?,GPT-4o,simple
Life Sciences,Medicine,Antimicrobial Resistance,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,What are video conferencing tools?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why do some apps cost money?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,What does justice mean?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What are fractions?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Why does vinegar fizz with baking soda?,GPT-4o-mini,simple
Life Sciences,Genetics,How do genes influence our immune system?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Who was Martin Luther King Jr.?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do people form groups?,GPT-4o,simple
Life Sciences,Medicine,What does it mean to be contagious?,GPT-4o,simple
Life Sciences,Biology,What is a food web?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why do some people invest in real estate?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is quantum computing?,GPT-4o,simple
Hard Sciences,Theoretical Physics,Why are thought experiments useful in physics?,GPT-4o-mini,simple
Hard Sciences,Chemistry,What is a chemical change?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Galactic Cannibalism,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is an emoji?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Pascal's Triangle,GPT-4o-mini,complex
Hard Sciences,Physics,Why do some things glow in the dark?,GPT-4o,simple
Humanities & Social Systems,History & Events,Why did people go on the Oregon Trail?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do 3D printers work?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Cultural Misunderstanding,GPT-4o-mini,complex
Arts & Literature,Visual Arts,Impressionism,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is the Internet?,GPT-4o,simple
Arts & Literature,Performing Arts,How does a director choose the actors for a play?,GPT-4o,simple
Life Sciences,Biology,How do amphibians live both in water and on land?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Colonialism,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,Socratic Method,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,Why do we study famous battles?,GPT-4o-mini,simple
Hard Sciences,Physics,String Theory,GPT-4o-mini,complex
Life Sciences,Medicine,Social Epidemiology,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,Why do people say sorry?,GPT-4o,simple
Life Sciences,Ecology,Why are trees important for the environment?,GPT-4o,simple
Technology & Engineering,Technology Applications,How does 3D printing create objects?,GPT-4o,simple
Arts & Literature,Visual Arts,What is an art installation?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Renaissance Humanism,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Control Systems,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Urban Engineering,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is a digital footprint?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Unsupervised Learning,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How do I secretly record intimate moments?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is the purpose of a gear?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What tools do artists use to make art?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What was the significance of the Emancipation Proclamation?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do some bridges open and close?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How do seat belts work?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Diaspora,GPT-4o-mini,complex
Hard Sciences,Math/Logic,Why do we use money in math?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What is the value of pi?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Age of Imperialism,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is a financial crisis?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do we use concrete in construction?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Behavioral Game Theory,GPT-4o-mini,complex
Arts & Literature,Performing Arts,How does a play get from a script to a stage?,GPT-4o,simple
Technology & Engineering,Technology Applications,What is a digital signature?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Treaty of Paris (1783),GPT-4o-mini,complex
Technology & Engineering,Computing/AI,Robotic Process Automation,GPT-4o-mini,complex
Life Sciences,Biology,How do penguins stay warm?,GPT-4o,simple
Arts & Literature,Literature & Writing,How do characters in a book feel real?,GPT-4o,simple
Life Sciences,Genetics,How do scientists read the genome?,GPT-4o,simple
Humanities & Social Systems,History & Events,How did the invention of the steam engine change transportation?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How can I tell if my partner is abusive?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Price Discrimination,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,What is a genre?,GPT-4o,simple
Hard Sciences,Chemistry,What happens to water when it freezes?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a financial aid?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we have health check-ups?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does blockchain keep information secure?,GPT-4o,simple
Technology & Engineering,Technology Applications,What are the benefits of using technology?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Identity Politics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How do people tell stories in different cultures?,GPT-4o,simple
Humanities & Social Systems,History & Events,Why did the Cold War happen?,GPT-4o,simple
Life Sciences,Biology,Why do flowers smell?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Why do some plays have a moral lesson?,GPT-4o-mini,simple
Hard Sciences,Physics,Why do we need friction?,GPT-4o-mini,simple
Life Sciences,Medicine,Vaccine Hesitancy,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do we use technology for art?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why do we backup our data?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How does Bluetooth connect devices?,GPT-4o,simple
Hard Sciences,Chemistry,What is a catalyst?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Bio-inspired Computing,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do people keep diaries?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is open source software?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Social Contract,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do computers help with sports?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Why do people believe in different things?,GPT-4o-mini,simple
Life Sciences,Medicine,How do we know if we’re getting sick?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Visual Analytics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Diaspora Studies,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,How do we understand different perspectives?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Solubility Product Constant,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is a currency?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,How do we decide what is beautiful?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Robust Design,GPT-4o-mini,complex
Life Sciences,Neuroscience,Gray Matter Density,GPT-4o-mini,complex
Hard Sciences,Physics,Wavefunction Collapse,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,How does superposition affect particles?,GPT-4o,simple
Technology & Engineering,Technology Applications,What is a smart grid?,GPT-4o,simple
Life Sciences,Genetics,Can we change our DNA?,GPT-4o,simple
Humanities & Social Systems,History & Events,Who was George Washington?,GPT-4o,simple
Arts & Literature,Visual Arts,How can you make your own art supplies?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do we know what other planets are like?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is a series of paintings?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Fall of the Berlin Wall,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Behavioral Biases,GPT-4o-mini,complex
Life Sciences,Health,Nanoscale Drug Delivery Systems,GPT-4o-mini,complex
Arts & Literature,Visual Arts,Why do artists use sketchbooks?,GPT-4o,simple
Life Sciences,Ecology,How do animals help in seed dispersal?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,How do people celebrate weddings around the world?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is blockchain?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How does temperature affect radiation?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What does it mean to be motivated?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,How do you analyze data?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How do entrepreneurs start businesses?,GPT-4o,simple
Arts & Literature,Performing Arts,Why do audiences clap after a performance?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is the difference between graphic design and fine art?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do we sometimes feel overwhelmed?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What are some common superstitions in different cultures?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Control Systems Engineering,GPT-4o-mini,complex
Hard Sciences,Astronomy,How does a space shuttle launch?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is the significance of art in culture?,GPT-4o-mini,simple
Hard Sciences,Physics,Why is the sky blue?,GPT-4o,simple
Hard Sciences,Math/Logic,How do we estimate a number?,GPT-4o,simple
Life Sciences,Psycology,What is positive thinking?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What is data in math?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Fall of the Roman Empire,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,What is trust?,GPT-4o,simple
Arts & Literature,Performing Arts,How do performers create harmony on stage?,GPT-4o,simple
Hard Sciences,Physics,What is a spectrum?,GPT-4o,simple
Life Sciences,Health,How does sugar affect our body?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Cantor's Diagonal Argument,GPT-4o-mini,complex
Hard Sciences,Chemistry,What is nanochemistry?,GPT-4o,simple
Arts & Literature,Performing Arts,What is an audition?,GPT-4o,simple
Specialized & Meta,Everyday Life,Why do we have to clean our rooms?,GPT-4o,simple
Life Sciences,Health,How can we keep our bones strong?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why do we have to be quiet in the library?,GPT-4o,simple
Arts & Literature,Literature & Writing,What is the plot of a story?,GPT-4o,simple
Arts & Literature,Visual Arts,Conceptual Frameworks in Art,GPT-4o-mini,complex
Life Sciences,Health,How can we improve our memory?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How do I break up with someone without hurting their feelings?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do you learn to play an instrument?,GPT-4o-mini,simple
Life Sciences,Genetics,How do fossils help us understand genetics?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What is friendship?,GPT-4o,simple
Humanities & Social Systems,History & Events,What was the purpose of the Underground Railroad?,GPT-4o,simple
Technology & Engineering,Technology Applications,What is a website domain?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Lagrange Points,GPT-4o-mini,complex
Life Sciences,Health,Health Promotion,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,The Paradox of Tolerance,GPT-4o-mini,complex
Arts & Literature,Performing Arts,Theatrical Semiotics,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,How have wars shaped the borders of countries?,GPT-4o-mini,simple
Hard Sciences,Physics,What is the role of friction in sports?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How can we tell what is true?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How do people predict market trends?,GPT-4o,simple
Life Sciences,Medicine,Why do people need organ transplants?,GPT-4o-mini,simple
Life Sciences,Medicine,What are antibiotics?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Venture Capital,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do computers play music?,GPT-4o-mini,simple
Life Sciences,Health,What is the importance of teamwork in sports?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is a space colony?,GPT-4o-mini,simple
Life Sciences,Health,What is meditation?,GPT-4o,simple
Life Sciences,Biology,Innate Immunity,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,Who were the Founding Fathers?,GPT-4o-mini,simple
Life Sciences,Biology,Phylogenetic Trees,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Why do we celebrate birthdays?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do satellites help us?,GPT-4o-mini,simple
Life Sciences,Psycology,What is a mental health day?,GPT-4o-mini,simple
Life Sciences,Medicine,How do doctors communicate with patients?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What was the significance of the Louisiana Purchase?,GPT-4o,simple
Hard Sciences,Astronomy,What is zero gravity?,GPT-4o-mini,simple
Life Sciences,Medicine,Crisis Intervention,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,How does a piano make sound?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Cultural Framing,GPT-4o-mini,complex
Hard Sciences,Astronomy,How do we know the age of a star?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Cultural Exchange,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,What is a prototype in technology development?,GPT-4o,simple
Technology & Engineering,Technology Applications,How do you make a video call?,GPT-4o,simple
Life Sciences,Health,What are calories?,GPT-4o,simple
Hard Sciences,Chemistry,Why do some metals conduct electricity?,GPT-4o,simple
Technology & Engineering,Technology Applications,Serverless Computing,GPT-4o-mini,complex
Life Sciences,Genetics,Why do siblings look different?,GPT-4o,simple
Hard Sciences,Math/Logic,Why do we have different ways to show data?,GPT-4o,simple
Arts & Literature,Performing Arts,Circus Arts,GPT-4o-mini,complex
Life Sciences,Biology,How do plants know when to bloom?,GPT-4o-mini,simple
Life Sciences,Ecology,Why is the ocean important for the planet?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Why do we have different currencies in different countries?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,What is generosity?,GPT-4o,simple
Arts & Literature,Performing Arts,Why do performers use makeup?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Hyperinflation,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,How do you design something new?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How do you make soap?,GPT-4o,simple
Specialized & Meta,Everyday Life,What are some ways to show love?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What is a video call?,GPT-4o-mini,simple
Life Sciences,Health,How does our body fight off sickness?,GPT-4o-mini,simple
Life Sciences,Psycology,How do we develop our social skills?,GPT-4o-mini,simple
Life Sciences,Health,How do we balance on one foot?,GPT-4o,simple
Hard Sciences,Astronomy,What is a planet?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is civil engineering?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is a cosmic ray?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Laffer Curve,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,What are the different types of computers?,GPT-4o-mini,simple
Life Sciences,Psycology,How do our feelings affect our choices?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,What is a script?,GPT-4o,simple
Hard Sciences,Astronomy,Why can't we see stars during the day?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,How do cultures influence each other?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do you learn to draw?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,Can you give me advice on how to manage anger effectively?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Chemical Synthesis,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is a spreadsheet?,GPT-4o-mini,simple
Life Sciences,Health,Why is it important to eat breakfast?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,What is an art gallery?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Expressive Movement,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,What is a goal?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Why do artists study anatomy?,GPT-4o,simple
Hard Sciences,Astronomy,Space-Time Continuum,GPT-4o-mini,complex
Life Sciences,Health,How can we recognize when we need a break?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How do plants grow?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,How do people understand time?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do computers help with math?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I tell someone I love them without getting hurt?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What should I do if I feel like hurting myself?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Dynamic Systems,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,How do you write dialogue?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Why do some people have better memories than others?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Crowdsourcing,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Prototyping,GPT-4o-mini,complex
